Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,28872.80078125,28627.76953125,28638.970703125,28868.80078125,251820000,28868.80078125
2020-01-03,28716.310546875,28500.359375,28553.330078125,28634.880859375,239590000,28634.880859375
2020-01-06,28708.01953125,28418.630859375,28465.5,28703.380859375,252760000,28703.380859375
2020-01-07,28685.5,28565.279296875,28639.1796875,28583.6796875,258900000,28583.6796875
2020-01-08,28866.1796875,28522.509765625,28556.140625,28745.08984375,291750000,28745.08984375
2020-01-09,28988.009765625,28844.310546875,28851.970703125,28956.900390625,275060000,28956.900390625
2020-01-10,29009.0703125,28789.099609375,28977.51953125,28823.76953125,237830000,28823.76953125
2020-01-13,28909.91015625,28819.4296875,28869.009765625,28907.05078125,249830000,28907.05078125
2020-01-14,29054.16015625,28872.26953125,28895.5,28939.669921875,287440000,28939.669921875
2020-01-15,29127.58984375,28897.349609375,28901.80078125,29030.220703125,260270000,29030.220703125
2020-01-16,29300.3203125,29131.94921875,29131.94921875,29297.640625,252110000,29297.640625
2020-01-17,29373.619140625,29289.91015625,29313.310546875,29348.099609375,321820000,29348.099609375
2020-01-21,29341.2109375,29146.470703125,29269.05078125,29196.0390625,320640000,29196.0390625
2020-01-22,29320.19921875,29172.259765625,29263.630859375,29186.26953125,283440000,29186.26953125
2020-01-23,29190.470703125,28966.98046875,29111.01953125,29160.08984375,307060000,29160.08984375
2020-01-24,29288.7890625,28843.310546875,29230.390625,28989.73046875,380010000,28989.73046875
2020-01-27,28671.7890625,28440.470703125,28542.490234375,28535.80078125,337270000,28535.80078125
2020-01-28,28823.23046875,28575.75,28594.279296875,28722.849609375,330140000,28722.849609375
2020-01-29,28944.240234375,28728.189453125,28820.529296875,28734.44921875,302290000,28734.44921875
2020-01-30,28879.7109375,28489.759765625,28640.16015625,28859.439453125,326850000,28859.439453125
2020-01-31,28813.0390625,28169.529296875,28813.0390625,28256.029296875,403890000,28256.029296875
2020-02-03,28630.390625,28319.650390625,28319.650390625,28399.810546875,307910000,28399.810546875
2020-02-04,28904.880859375,28696.740234375,28696.740234375,28807.630859375,332750000,28807.630859375
2020-02-05,29308.890625,29000.849609375,29048.73046875,29290.849609375,357540000,29290.849609375
2020-02-06,29408.05078125,29246.9296875,29388.580078125,29379.76953125,263700000,29379.76953125
2020-02-07,29286.919921875,29056.98046875,29286.919921875,29102.509765625,252860000,29102.509765625
2020-02-10,29278.0703125,28995.66015625,28995.66015625,29276.8203125,250510000,29276.8203125
2020-02-11,29415.390625,29210.470703125,29390.7109375,29276.33984375,279540000,29276.33984375
2020-02-12,29568.5703125,29406.75,29406.75,29551.419921875,309530000,29551.419921875
2020-02-13,29535.400390625,29345.9296875,29436.029296875,29423.310546875,291150000,29423.310546875
2020-02-14,29463.0390625,29283.1796875,29440.470703125,29398.080078125,231000000,29398.080078125
2020-02-18,29330.16015625,29116.810546875,29282.779296875,29232.189453125,256600000,29232.189453125
2020-02-19,29409.08984375,29274.380859375,29312.69921875,29348.029296875,240640000,29348.029296875
2020-02-20,29368.44921875,28959.650390625,29296.25,29219.98046875,287780000,29219.98046875
2020-02-21,29146.529296875,28892.69921875,29146.529296875,28992.41015625,311210000,28992.41015625
